source,title,description,link
NPR,A humanoid robot sprints past the human half-marathon world record in Beijing race,"A robot starts off for the Beijing E-Town Half Marathon and Humanoid Half Marathon on the outskirts of Beijing on Sunday, April 19, 2026.Ng Han Guan/APhide caption BEIJING — A humanoid robot that won a half-marathon race for robots in Beijing on Sunday ran faster than the human world record in a show of China's technological leaps. The winner from Honor, a Chinese smartphone maker, completed the 21-kilometer (13-mile) race in 50 minutes and 26 seconds, according to a WeChat post by the Beijing Economic-Technological Development Area, also known as Beijing E-Town, where the race kicked off. That was faster than the human world record holder, Uganda's Jacob Kiplimo, who finished the same distance in about 57 minutes in March at the Lisbon road race. The performance by the robot marked a significant step forward from last year's inaugural race, during which the winning robot finished in 2 hours, 40 minutes and 42 seconds. But the competition, which was held alongside a race for humans, wasn't without hiccups — one robot fell flat at the start line, another bumped into a barrier. A robot crashes against a board after crossing the finish line in the Beijing E-Town Half Marathon and Humanoid Robot Half-Marathon held in the outskirts of Beijing, Sunday, April 19, 2026.Andy Wong/APhide caption Du Xiaodi, Honor's test development engineer, said his team was happy with the results. Du said its robot design was modeled on outstanding human athletes, with long legs of about 95 cm (around 37 inches), and was equipped with what he called a powerful liquid-cooling system, which was largely developed in-house. ""Looking ahead, some of these technologies might be transferred to other areas. For example, structural reliability and liquid-cooling technology could be applied in future industrial scenarios,"" he said. While it will still take time to achieve widespread commercialization of humanoid robots, spectators were already impressed by the robots. Sun Zhigang, who had been in the audience last year, watched Sunday's race with his son. ""I feel enormous changes this year,"" Sun said. ""It's the first time robots have surpassed humans, and that's something I never imagined."" Wang Wen, who came with his family, said robots seemed to have stolen much of the spotlight from human runners in the event. ""The robots' speed far exceeds that of humans,"" he said. ""This may signal the arrival of sort of a new era."" Beijing E-Town said about 40% of the robots navigated the course autonomously, while the others were remotely controlled. State media outlet Global Times reported that a separate, remotely-controlled robot from Honor was the first to cross the finish line in 48 minutes and 19 seconds. But it said the winning one used autonomous navigation and received the championship under the event's weighted scoring rules. State broadcaster CCTV reported that the runners-up, which were also from Honor and used autonomous navigation, finished the race in about 51 minutes and 53 minutes respectively. A robot served as a traffic officer to direct the participants with its arm gestures and voice, CCTV added. A robot runs as it competes in the Beijing E-Town Half Marathon and Humanoid Robot Half-Marathon on the outskirts of Beijing, Sunday, April 19, 2026.Andy Wong/APhide caption In China, technology has evolved into an area of competition with the U.S. with national security implications. Beijing's latest five-year plan vows to ""target the frontiers of science and technology",https://www.npr.org/2026/04/20/g-s1-118086/humanoid-robot-half-marathon
NPR,They were promised paradise — in North Korea,"Plaintiffs, supporters and lawyers in a lawsuit against the North Korean government march to Tokyo District Court on Jan. 26 to hear the verdict, holding a banner detailing their case.Anthony Kuhn/NPRhide caption For 25 years, ethnic Koreans who called Japan home were lured by propaganda to North Korea. Over 90,000 people heeded the call. They were promised all basic needs, but ended up trapped in North Korea’s poverty and starvation. Now, survivors are fighting for justice in court.",https://www.npr.org/2026/04/16/nx-s1-5788068/they-were-promised-paradise-in-north-korea
NPR,"Born in south Lebanon, displaced to Beirut, two grandmothers reflect on Israeli invasions","Mariam Allawiya, 60 (left), and Kafa Wehbe, 67, sit together in a vacant apartment building in central Beirut after they were displaced from southern Lebanon by Israel's current invasion. They both grew up in southern Lebanon, and Allawiya's son married Wehbe's daughter.Claire Harbage/NPRhide caption BEIRUT, Lebanon — Mariam Allawiya and Kafa Wehbe sit on a sun-drenched balcony, smoking. They both grew up amid olive groves in southern Lebanon. Allawiya's son married Wehbe's daughter. They're grandmothers now. But this is not how they expected to grow old: Squatting in a vacant building in central Beirut, displaced many times. Yet they conjure hospitality for visiting reporters, pull up a donated plastic chair, and unspool the stories of their lives — which also tell the history of southern Lebanon. ""What can I say? It's all anxiety and war,"" Allawiya, 60, says. A building in central Beirut where families who have been displaced by Israeli attacks are staying. Over a million people in Lebanon have been displaced since early March, according to the Lebanese government.Claire Harbage/NPRhide caption She and Wehbe, 67, are among the more than one million people the Lebanese government says have been displaced by Israel's current invasion, which began last month after Lebanese Hezbollah militants fired rockets into Israel. They said they were retaliating against U.S. and Israeli attacks on their benefactor, Iran, and for 15 months of Israeli attacks on Lebanon that continued after a previous ceasefire in November 2024. Now, with a fresh ceasefire, both Israel and Hezbollah are warning displaced people not to return south. And Allawiya and Wehbe say they'll stay put — it's too dangerous. This isn't the first time these grandmothers have had to flee Israeli attacks. Allawiya was born in the Lebanese village of Maroun al-Ras, near the Israeli border. Israeli troops invaded in 1982, destroyed her family's house, and occupied south Lebanon for 18 years after that. The Allawiya family fled north to Beirut, settling in the capital's southern suburbs with other displaced Shia Muslims. But they road-tripped home every summer, and rebuilt their house — a labor of love while under occupation, she says. ""Our village, our land, our houses, our trees, our olives, our apples — our soil,"" Allawiya says wistfully. Allawiya shows a photo of her home in Maroun al-Ras that was destroyed just over a year ago. The home has been destroyed and rebuilt after successive Israeli invasions in 2006 and 2024.Claire Harbage/NPRhide caption ""And also Israeli checkpoints and soldiers!"" her friend Wehbe interrupts. ""Back then you needed a permit to move around, like in the Palestinian Territories. We don't want that again!"" ""That's why we support the resistance,"" she declares. Hezbollah was founded during that 1982 invasion. Back then, Israel was targeting Palestinian militants. But Hezbollah said it was fighting for the Lebanese, against foreign occupation, and endeared itself to people like Allawiya and Wehbe. It funded the reconstruction of thousands of homes, often with Iranian money. And it celebrated victory when Israeli forces finally withdrew from southern Lebanon in 2000. Lebanese people walk near the border fence with Israel in Kfar Kela on May 28, 2000, following Israeli forces withdrawing from southern Lebanon days earlier.Ramzi Haidar/AFP via Getty Imageshide caption ""Oh how beautiful that moment was,"" Allawiya recalls. ""It was perfect."" The Allawiya family neve",https://www.npr.org/2026/04/18/nx-s1-5761904/lebanon-war-israel-hezbollah-displacement-ceasefire
NPR,Zohran Mamdani says Iran war speaks to a 'broken kind of politics',"A shovel, hand weights and a construction hat now displayed in the foyer of New York City Hall are symbols of what Mayor Zohran Mamdani says are the ""pothole politics"" behind key achievements in his first 100 days in office. That's where we started our conversation this week during a wide-ranging interview for NPR'sNewsmakersvideo podcast. Sitting in the ornate Blue Room of City Hall underneath a portrait of Alexander Hamilton, a founding father who helped shape the nation, 34-year-old Mamdani ticked off all that he's been able to get done on his list of promises to voters: ""On day eight, we delivered $1.2 billion to make universal child care a reality across our city."" ""We secured more than $30 million in settlements with bad landlords, [and] repaired more than 6069 apartments."" ""We were able to secure nearly $100,000 a day for workers and small businesses that had been exploited by mega-corporations and delivery apps."" ""And we showed that the government can do all of these big transformative things while also doing the little things … filling in 102,000 potholes in that same length of time."" ""I share this with all of you, to give you a sense of where we are on what animated so many,"" Mamdani said. ""It shows people the very things they were told they would be wrong to believe in are in fact the ones that we can deliver on."" Just after our interview there was another big win for the energetic young mayor. New York Governor Kathy Hochul announced she's now backing a plan totax the multi-million dollar homes of out-of-state residents. It's money that will go toward paying down the $5.4 billion city budget shortfall. Mamdani quickly turned to social media to tout the move. ""When I ran for mayor, I said I was going to tax the rich,""he tells the camerain a video post showing him standing in front of a $238 million penthouse. He leans in, knocks on the lens and says, ""Well today, we're taxing the rich."" You can watch theNewsmakersinterview with Mamdani above. Below are highlights from our conversation. Following through on some of his other campaign promises has proven challenging for the mayor. He has promised to disband a police unit accused of heavy handed tactics with protesters, but has not yet done so. It is a key part of Mamdani's police reform. ""I'm committed to disbanding the Strategic Response Group and decoupling our city's response to protests versus threats of terrorism,"" he said. ""Part of what you're seeing in our administration is that we want to deliver this in a manner that isn't just checking a box, but in a manner that both upholds the sanctity of the First Amendment, the freedom of expression of protest, and also does so in a manner that keeps New Yorkers safe."" There was a lot of doubt from the political establishment when Mamdani, a democratic socialist, swept into office on the promise of affordability. He shared that message walking the streets of New York City and creating playfulvideosthat talked economics through ""halalflation"" or poked fun at the focus on his youth with a promise to get older every year. Those are now a signature of his administration. He uses thesevideosto announce new plans from his administration or to mark major religious holidays important to New Yorkers such as Ramadan and Passover. In office he's been a pragmatist and some of his doubters are now key allies on some issues, including Democratic Governor Hochul, who is a partner in his push for universal childcare and now this new tax levied o",https://www.npr.org/2026/04/16/nx-s1-5785163/zohran-mamdani-interview-first-100-days
NPR,Why nearly every farmer who grows these chile peppers is a woman,"Rajeshwari, 44, grades the chiles she has picked in the fields. Her sharp eyes spot the pale white pods in the sea of red: ""The ones with the rich red color are the best, but even though the paler ones are of poorer quality, we can still sell these at the market.""Viraj Nayar for NPRhide caption ""Hard labor and sleepless nights,"" says Pandiamma, 37, a farmer, as she crushes the crackling dried red pepper in her palm. ""That's what our lives are like when it's the time of year to pick chile."" She opens her palm and shows me the shredded flakes. ""And this is how wrung out we are at the end of it all,"" she laughs. ""But it's worth it."" Like many women in rural India, she goes by one name only. It's a searing hot day in Mattiyarenthal village, in the southern Indian state of Tamil Nadu. In March, temperatures regularly touch highs from 95 F to 105 F. The sharp, pungent scent of chile peppers clings to the air. It's just one of hundreds of villages in this area that grow this crop. Pandiamma is surrounded by the carpets of deep, cherry-shaped mundu, a distinctive variety of red chile grown in this region. The farmers sow seeds from October to November — monsoon season — and harvest the peppers from January until May, keeping a watchful eye over each batch as it lays out to dry for five to ten days. As the chile peppers are being dried, women begin the grading process by hand — picking out pods of poor quality or paler in color. These are stored separately in sacks and fetch half the price of the best chiles. But the farmers note that every penny counts. Here Pandiamma displays chiles of lesser quality.Viraj Nayar for NPRhide caption ""Growing chile has always been a woman's job,"" Pandiamma says. That's true not only for the thousands of chile farmers but for all farmers in the region. ""More than 70% of agricultural activities in this region have always been carried out by women farmers,"" says Vallal Kannan, a program coordinator forKrishi Vigyan Kendra, a government-run agricultural center. He says that's because men prefer to take on the agricultural jobs that involve finances, such as supervising and selling, leaving the menial, labor intensive jobs to the women. The women farmers agree that in the chile pepper fields, the demanding nature of the work discourages men. You need to crouch over the chile plant, plucking each pod by hand, and then dry and sort it, they say. And the plant is seasonal, which means that most chile farmers will find themselves out of work after six months. ""Not many men step up to do it under these conditions,"" Pandiamma says. ""But for women, chile is a godsend. If we labor hard enough in the fields for those few months, that extra income is enough to keep our homes running for the rest of the year."" Members of Thendral Magalir Kullu, a self-help group for women chile farmers, pluck peppers on the fields of Mattiyarenthal village. Some chile farmers own land; others are hired hands who help out during harvest season for a daily wage.Viraj Nayar for NPRhide caption Row after row of chile plants — short bushy shrubs with dusty green leaves — dot the expanse of sun-dappled fields. Like the women who labor here, the mundu chile is sturdy, tough and resilient. It needs very little water to grow and so does well in this parched, drought-ridden land. Bright red and round, with a hook-like stalk, the peppers hang like beads from each plant. When the women are in the fields, their fingers fly over the plants, plucking so quick",https://www.npr.org/2026/04/19/g-s1-116759/red-hot-peppers-women-farmers-india
NPR,Congress extends controversial surveillance powers for 10 days,"Speaker of the House Mike Johnson, R-La., and fellow Republicans celebrate GOP tax policies at an event outside the Capitol in Washington, Wednesday, April 15, 2026.J. Scott Applewhite/APhide caption Congress has voted  to extend a controversial surveillance program until April 30. The extension, which first passed overnight in the House, came after GOP leaders failed to secure a five-year renewal, as well as an 18-month renewal President Trump had demanded. Both votes tanked. That left a stop-gap measure for Section 702 of the Foreign Intelligence Surveillance Act (FISA), which was set to expire Monday. The Senate approved the extension by a voice vote Friday morning. The tool allows U.S. intelligence agencies to intercept the electronic communications of foreign nationals located outside of the United States. Like past reauthorizations, FISA 702's renewal has sparked a protracted debate on Capitol Hill over if and how the tool should be modified. Some of the nearly 350,000 targets whose communications are collected under FISA 702 authority are in touch with Americans, whose calls, texts and emails could end up in the trove of information available to the federal government for review. For almost two decades, privacy-minded lawmakers from both parties have sought to reform the program to require specific court approval before federal law enforcement or intelligence agents are allowed to review an American's information. The intelligence community has argued that would inhibit the efficacy of the tool and endanger national security. The fight over those changes  — responsible for weeks of turmoil in the House — ultimately resulted in limited modifications that failed to satisfy privacy hawks. If lawmakers are unable to reach a compromise by April 30 and FISA 702 is allowed to lapse, intelligence collection could continue but would likely be subject to lawsuits from the technology and telecommunications communications who are compelled to provide the communications to the government.",https://www.npr.org/2026/04/17/nx-s1-5788573/house-extends-surveillance-powers-for-10-days
NPR,"Life jacket worn by a passenger who survived the Titanic auctioned off for over $900,000","FILE - The Titanic leaves Southampton, England, April 10, 1912, on her maiden voyage.AP/APhide caption LONDON — A life jacket worn by a passenger on RMS Titanic as she escaped the sinking steamship on a lifeboat sold at auction on Saturday for 670,00 pounds ($906,000). The flotation device was worn by Laura Mabel Francatelli, a first-class passenger on the doomed ocean liner, and is signed by her and other survivors from the same lifeboat. FILE - A Titanic life-preserver, belong to a survivor is shown, London, Wednesday, May 16, 2007.Sang Tan/APhide caption It was the star among items in a sale of Titanic memorabilia by Henry Aldridge & Son auctioneers in Devizes, western England, and sold to an unidentified telephone bidder for well over the presale estimate of between 250,000 and 350,000 pounds. A seat cushion from one of the Titanic lifeboats sold at the same auction for 390,000 pounds ($527,000) to the owners of two Titanic museums in Pigeon Forge, Tennessee, and Branson, Missouri. The prices include an auction-house fee known as the buyer's premium. ""These record-breaking prices illustrate the continuing interest in the Titanic story, and the respect for the passengers and crew whose stories are immortalized by these items of memorabilia,"" auctioneer Andrew Aldridge said. Billed as the world's most luxurious ocean liner and described as ""practically unsinkable,"" the Titanic hit an iceberg off Newfoundland during its maiden voyage from England to New York. It sank within hours on April 15, 1912. Some 1,500 of the 2,200 passengers and crew died. The Titanic is still a subject of worldwide fascination, in part because of the range of passengers aboard the ship, from paupers to plutocrats. Francatelli was traveling with her employer, fashion designer Lucy Duff Gordon, and Lucy's husband Cosmo Duff Gordon. All three survived in the ship's lifeboat No. 1, which was launched carrying 12 people despite having capacity for 40. Its failure to pick up survivors from the frigid water became a source of controversy. The record auction price for a piece of Titanic memorabilia is 1.56 million pounds (almost $2 million at the time) paid in 2024 for a gold pocket watch given to the captain of RMS Carpathia, the ship that rescued 700 Titanic survivors.",https://www.npr.org/2026/04/18/nx-s1-5789909/life-jacket-titanic-auction
NPR,US Coast Guard spots overturned vessel near Saipan during search for missing ship,"A U.S. Coast Guard HC-130 Hercules airplane crew assigned to Coast Guard Air Station Barbers Point flies over an overturned vessel offshore Saipan, Saturday, April 18, 2026, while searching for a missing vessel, the Mariana, that experienced an engine failure April 15.AP/U.S. Coast Guard/Air Station Barhide caption HAGATNA, Guam — An airplane search crew spotted an overturned ship matching the description of a cargo vessel that went missing with six people on board near the U.S. territory of Saipan, though authorities were not able to confirm whether it was the one that was lost, the Coast Guard said Saturday. The HC-130 Hercules crew saw the vessel early in the day about 100 nautical miles (185 kilometers) northeast of the Mariana's last known position, the Coast Guard said. It was 34 nautical miles (63 kilometers) northeast of Pagan, a small island north of Saipan in the western Pacific Ocean. The agency said in a statement that it confirmed the overturned ship matched the description of the Mariana, a 145-foot (44-meter) dry cargo vessel registered in the U.S. The Mariana suffered engine failure Wednesday asa massive typhoonbore down on Saipan and nearby islands with fierce winds and relentless rain. After the crew reported that the boat had lost its starboard engine and needed assistance, the Coast Guard set up a one-hour communication schedule with the vessel. But contact was lost Thursday. A HC-130 plane launched that morning to conduct a search, but it returned to Guam due to heavy winds. The Mariana's last known position was about 140 miles (225 kilometers) north-northwest of Saipan, which is about 3,800 miles (6,115 kilometers) west of Hawaii. Coast Guard officials in Honolulu were gathering information on the capsized ship, the agency said in a statement. The guard did not know the nationalities of the Mariana's missing crew members. A U.S. Navy Boeing P-8A Poseidon crew; a Coast Guard cutter; and a Japanese coast guard aircrew and vessel equipped with a specialized dive team were to take part in the search. Typhoon Sinlaku triggered floods, tore off roofs and overturned cars on Saipan. Officials said the storm's large size meant that the island endured roughly 48 hours of fierce winds, which delayed responders' ability to assess damage and help communities.",https://www.npr.org/2026/04/18/nx-s1-5789936/us-coast-guard-overturned-vessel-mariana
NPR,"Iran says it has closed the Strait of Hormuz again, as ceasefire nears its end","U.S. President Donald Trump speaks to members of the press aboard Air Force One on April 17, 2026 just prior to landing at Joint Base Andrews, Maryland.Win McNamee/Getty Images North Americahide caption Iran said Saturday it had reinstated control of the Strait of Hormuz, and was reversing course on its decision to reopen the critical waterway until the United States completely lifts its blockade of Iranian ports. The announcement came the morning after President Donald Trump had said the U.S. blockade of Iranian ports will remain and attacks could resume if no agreement is reached before the current ceasefire with Iran expires next week. Speaking to reporters in the Oval Office Saturday, Trump said Iran had tried to get ""cute"" in taking back control of the Strait of Hormuz. ""They got a little cute, as they have been doing for 47 years. Nobody ever took them on. We took them on,"" Trump said. Asked by a reporter aboard Air Force One the previous evening about what he will do if there's no deal before the ceasefire expires, Trump said: ""I don't know. Maybe I won't extend it, but the blockade is going to remain. But maybe I won't extend it, so you'll have a blockade and unfortunately we'll have to start dropping bombs again."" Trump was on his way back to Washington, after appearing at Turning Point USA's ""Build the Red Wall"" rally in Phoenix, AZ. Despite hinting at the possibility of resuming attacks on Iran, Trump also told reporters ""I think it's going to happen,"" referring to a deal. Also on Friday, hours after Iran said the Strait of Hormuz was open to commercial ships, the Treasury Department said it would extend its pause on sanctions on Russian oil shipments to ease shortages caused by the Iran war. As recently as Wednesday, Treasury Secretary Scott Bessent had ruled out such a move. woman is seen carrying an Iranian flag during a pro-government National Army Day demonstration on April 17, 2026 in Tehran, Iran.Majid Saeedi/Getty Images Europehide caption Here are further updates in the Middle East conflict: Strait of Hormuz|World leaders on ceasefire|Lebanon reactions The United Kingdom Maritime Trade Operations organization, which monitors maritime security activity around the Strait of Hormuz, said it hadreceived a reportthat a tanker near the strait was attacked by two Iran Revolutionary Guard Corps (IRGC) gun boats. No injuries were reported in the incident, which happened hours after Iran said the strait was now under ""strict control"" until the U.S. agreed to lift its naval blockade of Iranian ports. The decision reverses earlier announcements from Iranian officials and President Trump on Friday that the strait had reopened – announcements that had sent oil prices tumbling and stock markets rebounding. The latest announcement from Iran that it had again closed the strait reignited concerns about how shipments would get through the narrow waterway, through which about 20% of the world's crude oil and natural gas typically passes. Traders work on the floor of the New York Stock Exchange during morning trading on April 17, 2026 in New York City.Michael M. Santiago/Getty Images North Americahide caption Oilprices tumbledand stock markets rallied on the announcement the strait was open for commercial ships. French President Emmanuel Macron on Saturday accused the Iran-backed militant group Hezbollah of killing a French UN peacekeeper in Lebanon, just one day into a tenuous ceasefire between Israel and Lebanon. ""Sergeant-Chef Florian",https://www.npr.org/2026/04/18/nx-s1-5789780/iran-middle-east-updates
NPR,Real estate investors are buying up long-term care facilities. Residents can suffer,"Leslie Adams holds a photo of his mother, Shirley, who died after developing infected bedsores at a rehabilitation center, according to a lawsuit he filed. A court awarded the family $17 million, but they are still trying to collect it.Taylor Glascock for KFF Health Newshide caption By the time she was hospitalized in 2020, Pearlene Darby, a retired teacher, had suffered open sores on both legs, both hips, and both heels, as well as a five-inch-long gash on her tailbone. She died two weeks later at age 81 from infections and bedsores, according to her death certificate. Her daughter sued the nursing home, alleging it had left Darby sitting in her own feces and urine time and again. The lawsuit, settled on confidential terms last year, blamed not only the managers of City Creek Post-Acute and Assisted Living but also the building's owner, a real estate investment trust, or REIT. In the year Darby died, City Creek paid CareTrust REIT more than $1 million in rent, while the Sacramento, California, nursing home ran a deficit, court records show. Federal tax rules ban REITs from running health care facilities, but CareTrust was not an absentee landlord either, according to internal records filed in the case. It chose the nursing home's management company and required through the lease that the home keep at least 80% of beds occupied. CareTrust granularly tracked how well the home kept to its financial plan, down to the money spent monthly on nurses and food, the records said. And the documents showed that the real estate company kept tabs on government safety inspection findings and Medicare quality ratings. Both CareTrust and the nursing home operator denied liability for Darby's death. CareTrust officials said in court papers that it is not involved in day-to-day nursing home decisions or patient care, and that it monitors facilities to ensure nothing jeopardizes rent payments. In a written statement, CareTrust Corporate Counsel Joseph Layne told KFF Health News: ""We are the property owners, not the operators."" Pearlene Darby, pictured here with her grandson Caleb Darby, was a resident of a Sacramento, California, nursing home. She died two weeks after being hospitalized for bedsores and an infection. The home denied liability and the case was settled out of court.Shirlene Darbyhide caption Over the past decade, real estate investment trusts have bought thousands of buildings that house nursing homes, hospitals, assisted living facilities, and medical offices. A KFF Health News examination of court filings and corporate records shows that these landlords have more influence than the health care facilities publicly acknowledge. The documents reveal REITs often select the management who oversee the operations and leave them in place even when they are aware of threadbare staffing, floundering governance, repeated safety violations, or other problems that hamper quality of care. A California jury in March awarded $92 million in punitive damages against a former REIT over the death of a 100-year-old resident with dementia who froze to death outside her assisted living facility. ""The REITs are in charge,"" said Laraclay Parker, one of the lawyers who represent Darby's daughter. Despite their ubiquity, REITs remain invisible to state and federal health regulators. Hospitals and nursing homes are not required to disclose rent payments or landlord identities in the annual reports they submit to Medicare. Under President Donald Trump, the Centers fo",https://www.npr.org/2026/04/19/nx-s1-5786242/profit-landlord-real-estate-investment-trust-nursing-homes-safety
